datetime,symbol,open,high,low,close,volume
1990-07-02 09:15:00,NSE:NIFTY,279.01999,289.04001,279.01999,289.04001,0.0
1990-07-09 09:15:00,NSE:NIFTY,289.69,296.34,288.69,296.34,0.0
1990-07-16 09:15:00,NSE:NIFTY,287.95999,302.59,287.95999,302.59,0.0
1990-07-23 09:15:00,NSE:NIFTY,321.76001,329.64999,321.76001,329.64999,0.0
1990-07-30 09:15:00,NSE:NIFTY,347.44,347.44,337.29001,337.29001,0.0
1990-08-06 09:15:00,NSE:NIFTY,331.45001,333.35001,322.10999,333.35001,0.0
1990-08-13 09:15:00,NSE:NIFTY,348.98001,349.39001,347.98999,347.98999,0.0
1990-08-20 09:15:00,NSE:NIFTY,353.19,369.95001,353.19,368.14001,0.0
1990-08-27 09:15:00,NSE:NIFTY,384.78,400.06,384.39001,400.06,0.0
1990-09-03 09:15:00,NSE:NIFTY,407.13,407.13,389.82001,404.10999,0.0
1990-09-10 09:15:00,NSE:NIFTY,411.10999,422.07001,396.5,396.5,0.0
1990-09-17 09:15:00,NSE:NIFTY,415.17999,434.07999,415.17999,434.07999,0.0
1990-09-24 09:15:00,NSE:NIFTY,452.35999,452.35999,436.16,439.72,0.0
1990-10-01 09:15:00,NSE:NIFTY,439.54999,439.54999,439.54999,439.54999,0.0
1990-10-08 09:15:00,NSE:NIFTY,480.38,480.38,429.29001,429.29001,0.0
1990-10-15 09:15:00,NSE:NIFTY,398.92001,405.72,398.92001,405.72,0.0
1990-10-22 09:15:00,NSE:NIFTY,383.75,404.14999,383.75,397.04001,0.0
1990-10-29 09:15:00,NSE:NIFTY,403.66,412.89999,403.66,412.89999,0.0
1990-11-05 09:15:00,NSE:NIFTY,416.07999,435.17999,416.07999,430.25,0.0
1990-11-12 09:15:00,NSE:NIFTY,403.06,408.34,403.06,408.34,0.0
1990-11-19 09:15:00,NSE:NIFTY,391.82999,399.67001,383.69,399.67001,0.0
1990-11-26 09:15:00,NSE:NIFTY,405.0,405.0,367.69,367.69,0.0
1990-12-03 09:15:00,NSE:NIFTY,371.14001,371.14001,359.20999,363.06,0.0
1990-12-10 09:15:00,NSE:NIFTY,371.85999,382.16,368.22,382.16,0.0
1990-12-17 09:15:00,NSE:NIFTY,367.42001,367.42001,326.92999,326.92999,0.0
1990-12-24 09:15:00,NSE:NIFTY,330.85999,330.85999,330.85999,330.85999,0.0
1990-12-31 09:15:00,NSE:NIFTY,318.95001,318.95001,314.01001,314.01001,0.0
1991-01-07 09:15:00,NSE:NIFTY,318.12,326.37,318.12,326.37,0.0
1991-01-14 09:15:00,NSE:NIFTY,323.42001,323.42001,323.42001,323.42001,0.0
1991-01-21 09:15:00,NSE:NIFTY,319.48999,319.48999,306.22,306.22,0.0
1991-01-28 09:15:00,NSE:NIFTY,314.35999,324.29001,314.35999,324.29001,0.0
1991-02-04 09:15:00,NSE:NIFTY,334.82999,339.98001,329.5,329.5,0.0
1991-02-11 09:15:00,NSE:NIFTY,324.60999,331.06,322.23999,331.06,0.0
1991-02-18 09:15:00,NSE:NIFTY,361.63,369.57001,360.51999,369.57001,0.0
1991-02-25 09:15:00,NSE:NIFTY,369.03,379.94,369.03,379.94,0.0
1991-03-04 09:15:00,NSE:NIFTY,381.5,385.62,361.29999,371.44,0.0
1991-03-11 09:15:00,NSE:NIFTY,367.66,375.79001,364.09,375.79001,0.0
1991-03-18 09:15:00,NSE:NIFTY,367.04001,367.41,364.73999,366.45999,0.0
1991-03-25 09:15:00,NSE:NIFTY,361.79001,366.45001,361.79001,366.45001,0.0
1991-04-01 09:15:00,NSE:NIFTY,372.70001,380.57001,372.70001,380.57001,0.0
1991-04-08 09:15:00,NSE:NIFTY,387.0,402.39999,387.0,402.39999,0.0
1991-04-15 09:15:00,NSE:NIFTY,406.92999,406.92999,397.28,403.38,0.0
1991-04-22 09:15:00,NSE:NIFTY,404.75,404.76001,400.44,401.53,0.0
1991-04-29 09:15:00,NSE:NIFTY,396.88,397.14999,389.01001,397.14999,0.0
1991-05-06 09:15:00,NSE:NIFTY,392.35001,400.39999,392.26001,400.39999,0.0
1991-05-13 09:15:00,NSE:NIFTY,400.38,401.57999,399.48999,401.57999,0.0
1991-05-20 09:15:00,NSE:NIFTY,398.67999,408.66,398.67999,407.19,0.0
1991-05-27 09:15:00,NSE:NIFTY,408.19,411.85999,403.17999,403.17999,0.0
1991-06-03 09:15:00,NSE:NIFTY,400.01999,400.01999,386.92001,386.92001,0.0
1991-06-10 09:15:00,NSE:NIFTY,390.28,397.78,390.28,397.78,0.0
1991-06-17 09:15:00,NSE:NIFTY,402.59,415.82999,402.59,415.82999,0.0
1991-06-24 09:15:00,NSE:NIFTY,400.82999,400.82999,391.95999,391.95999,0.0
1991-07-01 09:15:00,NSE:NIFTY,393.60001,413.35001,393.60001,413.35001,0.0
1991-07-08 09:15:00,NSE:NIFTY,416.26999,437.67001,416.26999,437.67001,0.0
1991-07-15 09:15:00,NSE:NIFTY,428.76001,445.73999,428.76001,445.73999,0.0
1991-07-22 09:15:00,NSE:NIFTY,434.66,488.73001,434.66,488.73001,0.0
1991-07-29 09:15:00,NSE:NIFTY,500.25,504.57999,498.19,504.57999,0.0
1991-08-05 09:15:00,NSE:NIFTY,502.89001,502.89001,487.56,495.32001,0.0
1991-08-12 09:15:00,NSE:NIFTY,496.10001,512.21997,496.10001,512.21997,0.0
1991-08-19 09:15:00,NSE:NIFTY,518.10999,535.32001,508.98999,535.32001,0.0
1991-08-26 09:15:00,NSE:NIFTY,545.65997,545.65997,531.96997,531.96997,0.0
1991-09-02 09:15:00,NSE:NIFTY,524.72998,533.56,521.79999,533.56,0.0
1991-09-09 09:15:00,NSE:NIFTY,534.22998,548.77002,534.22998,548.77002,0.0
1991-09-16 09:15:00,NSE:NIFTY,563.22998,563.22998,540.53998,540.53998,0.0
1991-09-23 09:15:00,NSE:NIFTY,536.04999,549.32001,528.21002,549.32001,0.0
